ID	Symbol	12hr Fold Change	12hr p-value	24hr Fold Change	24hr p-value	48hr Fold Change	48hr p-value
229819_at	A1BG	 	 	-1.368	4.87E-02	 	 
232462_s_at	A1BG-AS1	 	 	 	 	1.147	4.52E-02
1564139_at	A2M-AS1	-1.309	3.07E-02	 	 	 	 
219488_at	A4GALT	 	 	 	 	1.55	1.05E-02
218075_at	AAAS	 	 	1.324	2.66E-02	1.401	1.96E-03
218434_s_at	AACS	 	 	-1.056	5.01E-03	 	 
227534_at	AAED1	1.18	8.43E-03	1.201	1.57E-02	 	 
211186_s_at	AAK1	 	 	 	 	-1.427	5.41E-03
225522_at	AAK1	 	 	 	 	-1.333	4.21E-02
221600_s_at	AAMDC	-1.289	3.71E-02	 	 	 	 
207225_at	AANAT	 	 	 	 	1.502	3.71E-02
201000_at	AARS	 	 	 	 	1.235	7.85E-03
231845_at	AARS2	1.204	4.09E-04	1.362	4.50E-02	1.392	1.32E-02
235435_at	AASDH	 	 	1.376	2.10E-02	 	 
202170_s_at	AASDHPPT	 	 	1.224	2.14E-02	 	 
214829_at	AASS	-1.211	3.19E-02	 	 	 	 
209165_at	AATF	1.369	1.14E-02	1.142	2.54E-02	 	 
206527_at	ABAT	1.296	6.16E-03	1.637	1.65E-03	1.809	4.87E-03
209460_at	ABAT	1.317	1.81E-02	 	 	1.121	4.10E-02
203505_at	ABCA1	-3.127	3.16E-03	 	 	-5.831	1.29E-02
203504_s_at	ABCA1	 	 	-2.187	3.00E-02	-3.93	4.66E-02
220159_at	ABCA11P	1.311	1.96E-02	 	 	 	 
215465_at	ABCA12	 	 	-1.216	1.67E-02	 	 
210100_s_at	ABCA2	 	 	1.212	2.86E-03	 	 
212772_s_at	ABCA2	 	 	 	 	-1.303	4.36E-02
204343_at	ABCA3	1.299	6.82E-03	 	 	 	 
241705_at	ABCA5	 	 	-1.544	2.11E-02	 	 
242541_at	ABCA9	1.352	1.79E-02	 	 	 	 
203192_at	ABCB6	 	 	 	 	1.341	2.49E-02
209620_s_at	ABCB7	 	 	 	 	1.369	1.57E-02
1555323_at	ABCB9	 	 	 	 	1.691	9.14E-03
215873_x_at	ABCC10	 	 	-1.317	3.88E-02	 	 
208161_s_at	ABCC3	 	 	-2.007	4.48E-02	 	 
239217_x_at	ABCC3	 	 	-1.248	2.39E-02	 	 
242553_at	ABCC3	 	 	1.215	1.48E-02	 	 
209641_s_at	ABCC3	 	 	 	 	-1.308	2.80E-02
230682_x_at	ABCC3	 	 	 	 	-1.221	2.57E-02
209380_s_at	ABCC5	-1.652	1.14E-02	-1.727	5.22E-03	-2.04	9.47E-03
226363_at	ABCC5	-2.267	4.90E-04	-2.758	2.07E-04	-3.343	1.88E-03
1558460_at	ABCC5	 	 	 	 	-1.998	3.91E-02
214033_at	ABCC6	 	 	 	 	-1.341	1.49E-02
236205_at	ABCC6P1	 	 	 	 	-1.434	1.96E-02
1554878_a_at	ABCD3	1.173	1.22E-02	 	 	1.851	8.77E-03
202850_at	ABCD3	 	 	1.06	2.38E-02	 	 
201872_s_at	ABCE1	1.547	7.43E-04	1.608	3.91E-04	1.746	2.82E-03
201873_s_at	ABCE1	1.566	3.80E-03	1.417	1.09E-02	1.488	7.52E-04
